Season,Team_name,Id,Squad_num,Player_name,Player_name_en,National
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,강원,20180235,6,김동현,DONG HYUN KIM,한국
2020,성남,20180235,6,김동현,DONG HYUN KIM,한국
2019,성남,20180235,6,김동현,DONG HYUN KIM,한국
2018,광주,20180235,6,김동현,DONG HYUN KIM,한국
2021,대전,20180259,20,박인혁,Inhyek PARK,한국
2020,대전,20180259,20,박인혁,Inhyek PARK,한국
2019,대전,20180259,20,박인혁,Inhyek PARK,한국
2018,대전,20180259,20,박인혁,Inhyek PARK,한국
2021,전남,20180260,89,발로텔리,BOARETO DOS REIS Jonathan,브라질
2018,부산,20180260,89,발로텔리,BOARETO DOS REIS Jonathan,브라질
2021,인천,20180262,10,아길라르,ELIAS FERNANDO AGUILAR VARGAS,코스타리카
2020,인천,20180262,10,아길라르,ELIAS FERNANDO AGUILAR VARGAS,코스타리카
2019,제주,20180262,10,아길라르,ELIAS FERNANDO AGUILAR VARGAS,코스타리카
2018,인천,20180262,10,아길라르,ELIAS FERNANDO AGUILAR VARGAS,코스타리카
2021,인천,20180266,16,강윤구,YUN KOO KANG,한국
2020,인천,20180266,16,강윤구,YUN KOO KANG,한국
2019,대구,20180266,16,강윤구,YUN KOO KANG,한국
2018,대구,20180266,16,강윤구,YUN KOO KANG,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,김천,20180280,31,박지민,PARK Jimin,한국
2020,상주,20180280,31,박지민,PARK Jimin,한국
2019,수원,20180280,31,박지민,PARK Jimin,한국
2018,수원,20180280,31,박지민,PARK Jimin,한국
2021,대구,20180293,44,츠바사,Tsubasa NISHI,일본
2020,대구,20180293,44,츠바사,Tsubasa NISHI,일본
2019,대구,20180293,44,츠바사,Tsubasa NISHI,일본
2018,대구,20180293,44,츠바사,Tsubasa NISHI,일본
2021,대구,20180294,9,에드가,Edgar Bruno DA SILVA,브라질
2020,대구,20180294,9,에드가,Edgar Bruno DA SILVA,브라질
2019,대구,20180294,9,에드가,Edgar Bruno DA SILVA,브라질
2018,대구,20180294,9,에드가,Edgar Bruno DA SILVA,브라질
2021,대전,20180296,10,이진현,Jinhyun LEE,한국
2020,대구,20180296,10,이진현,Jinhyun LEE,한국
2019,포항,20180296,10,이진현,Jinhyun LEE,한국
2018,포항,20180296,10,이진현,Jinhyun LEE,한국
2021,수원,20180324,18,김태환,Taehwan KIM,한국
2020,수원,20180324,18,김태환,Taehwan KIM,한국
2019,수원,20180324,18,김태환,Taehwan KIM,한국
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2021,안산,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2019,서울E,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
2018,광주,20180339,11,두아르테,ROBSON CARLOS DUARTE,브라질
